case_id,candidate_id,candidate_name,target_signal_id,target_signal_name,edge_type,lag_weeks,paired_week_count,pearson_correlation,minimum_paired_weeks,eligible,notes
real_us_flu_empirical_multicandidate_001,real_signal_influenza_a_wastewater_concentration,Influenza A wastewater concentration,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,0,25,0.972556,8,True,Eligible diagnostic lag but excluded from LEADING_INDICATOR_FOR best-lag selection because minimum_lead_weeks = 1.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_a_wastewater_concentration,Influenza A wastewater concentration,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,1,26,0.947016,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_a_wastewater_concentration,Influenza A wastewater concentration,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,2,26,0.823790,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_a_wastewater_concentration,Influenza A wastewater concentration,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,3,26,0.653797,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_a_wastewater_concentration,Influenza A wastewater concentration,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,4,26,0.476119,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_outpatient_ili_activity,Outpatient ILI activity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,0,30,0.972979,8,True,Eligible diagnostic lag but excluded from LEADING_INDICATOR_FOR best-lag selection because minimum_lead_weeks = 1.
real_us_flu_empirical_multicandidate_001,real_signal_outpatient_ili_activity,Outpatient ILI activity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,1,29,0.958037,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_outpatient_ili_activity,Outpatient ILI activity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,2,28,0.848592,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_outpatient_ili_activity,Outpatient ILI activity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,3,27,0.708652,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_outpatient_ili_activity,Outpatient ILI activity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,4,26,0.566189,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_test_positivity,Influenza test positivity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,0,30,0.974584,8,True,Eligible diagnostic lag but excluded from LEADING_INDICATOR_FOR best-lag selection because minimum_lead_weeks = 1.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_test_positivity,Influenza test positivity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,1,29,0.925810,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_test_positivity,Influenza test positivity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,2,28,0.798296,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_test_positivity,Influenza test positivity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,3,27,0.619423,8,True,Eligible for leading-indicator best-lag selection.
real_us_flu_empirical_multicandidate_001,real_signal_influenza_test_positivity,Influenza test positivity,real_signal_us_influenza_hospitalization_rate_flusurv,U.S. influenza hospitalization rate from FluSurv-NET,LEADING_INDICATOR_FOR,4,26,0.424176,8,True,Eligible for leading-indicator best-lag selection.
